Sentença,Classe
O lateral-direito Daniel Alves sofreu um estiramento no joelho direito durante a vitória do PSG por 2 a 0 sobre o Les Herbiers,F
Não há necessidade de cirurgia em um primeiro momento,F
"Em nota oficial, o Paris Saint-Germain disse que o exame mostrou ''uma alta desinserção do ligamento cruzado anterior com entorse póstero-externo''",F
"Segundo o clube, só daqui a três semanas, no fim de maio, é que será possível reavaliar a necessidade de cirurgia.",F
"O técnico Tite vai anunciar os 23 convocados na próxima segunda-feira, às 14h, na sede da CBF",F
Daniel Alves achava que o problema no joelho tinha sido mais grave e está otimista na convocação.,NF
Serão três semanas de trabalho intensivo para evoluir até a reavaliação,F
"Se for chamado por Tite, é muito provável que o lateral-direito passe boa parte da etapa de preparação em recuperação, com o departamento médico",NF
"Dificilmente ele teria condições de disputar os amistosos dos dias 3 e 10 de junho, contra Croácia e Áustria, respectivamente.",NF
"Ainda assim, sua convocação é bastante considerada porque Daniel Alves é um dos mais importantes jogadores da Seleção",NF
"Aos 35 anos, tem sido escolhido por Tite o capitão nos jogos de maior peso, como os recentes amistosos diante de Inglaterra e Alemanha.",F
"Antes, ele já havia usado a faixa contra Argentina e Colômbia, ambas pelas eliminatórias da Copa.",F
A lateral direita já tinha uma vaga aberta na convocação da seleção brasileira.,F
O veterano tenta disputar sua terceira Copa do Mundo,F
Sérgio Xavier Filho afirma que possível transferência do camisa 10 do Paris Saint-Germain pode ser prejudicial para o jogador dado o período que falta para a Copa do Mundo na Rússia,F
O Flamengo acerta os últimos ponteiros com o Consórcio Maracanã para levar uma proposta ao Conselho Deliberativo.,F
"Em texto publicado no site do Flamengo, Bandeira e o vice-presidente de gabinete, Pedro Almeida, destacaram os números positivos das contas do ano passado",F
"Bandeira considera que os resultados administrativos serão alavancas para a ""solução definitiva de estádio"" para o clube",F
O Flamengo ainda estuda o cenário,NF
"Em meio ao clima político do ano eleitoral, Bandeira alfinetou, sem citar nomes, opositores que questionaram as contas na suspensão da reunião do balanço",NF
"O principal grupo de apoio a Bandeira, o SóFla, ainda se movimenta na política rubro-negra para sustentar candidatura própria",NF
Esta quarta-feira amanheceu com uma notícia quente diretamente da Espanha.,NF
"Para o comentarista, o fato de faltar pouco mais de um mês para a Copa do Mundo pode fazer com que o camisa 10 perca o foco.",NF
Ele ainda criticou o pai do jogador,F
"Marcelo Barreto e Camila Carelli, repórter da Rádio Globo, discordaram um pouco do comentarista.",F
"Além disso, ele pode ter dificuldade em se adaptar também a um time praticamente comandado por Cristiano Ronaldo.",NF
Um escândalo de racismo está movimentando os bastidores do Chelsea,NF
Sete ex-jogadores das categorias de base nos anos 80 e 90 acusam os ex-treinadores Gwyn Williams e Graham Rix de má conduta,F
O Chelsea está exposto pela especulação de que existia uma cultura de bullying e abusos racistas em Stamford Bridge,NF
Williams foi uma figura chave por lá por 25 anos,NF
"Tanto Rix quanto Williams, defendidos pelo mesmo advogado, negam veementemente todas as alegações.",F
Eles confirmam a versão sobre a postura racista dos treinadores.,F
"Como eles não entraram em campo, o procurador-geral do STJD, Felipe Bevilacqua, considerou a situação normal e arquivou a denúncia",F
recentemente também negou o pedido liminar do Náutico para cancelar a partida desta quinta.,F
"Marcelo Aparecido Ribeiro de Souza, o árbitro da final do Campeonato Paulista, voltará a apitar na próxima terça-feira",F
O retorno acontece mais de um mês depois de ele ser acusado pelo Palmeiras de aceitar interferência externa e voltar atrás no pênalti marcado a favor do time alviverde,F
Funcionários ficaram assustados,NF
o árbitro procurou a polícia para tentar identificar os autores das ameaças,F
"Marcelo, procurado pela reportagem, não quis dar declarações sobre o período afastado dos campos",F
O árbitro não recebeu o afastamento como sinal de punição,F
"Perto do retorno, Marcelo acredita que, gradativamente, retomará sua rotina no quadro de arbitragem da CBF e voltará a trabalhar na Série A",NF
"No ano passado, foi um integrante ativo do quadro de arbitragem na Série A do Brasileirão",NF
Comandou 14 partidas na primeira divisão,F
O árbitro do Dérbi não foi o único integrante do time de arbitragem a ser retirado das escalas,F
"Responsável por evolução da equipe em poucos meses, ex-jogador pode conquistar primeiro título como técnico",NF
"Acostumados com os dias de glória de um gigante heptacampeão europeu, os torcedores do Milan vêm vivendo um período de agonia",NF
apenas um troféu foi conquistado nos últimos sete anos: uma modesta Supercopa nacional,F
Uma conquista que seria simbólica para o rápido e consistente processo de evolução do time em menos de seis meses de trabalho do ex-volante,NF
"Visto inicialmene mais como aposta em um nome apaziguador do que alvo de total confiança da diretoria, ele conduziu uma mudança mental e também tática",NF
A trajetória que trouxe Gattuso de volta ao dia a dia do Milan começou de forma despretensiosa,NF
O recado era claro,NF
O novo técnico estava ali para tentar atender aos pedidos de uma torcida insatisfeita e tinha a seu favor o histórico de jogador visto como raçudo,NF
Gattuso queria uma mudança de postura,NF
"Ainda desorganizado, o time só evitou uma derrota vergonhosa diante do lanterna Benevento por conta de um gol nos acréscimos",NF
"Os atletas, de fato, tiveram motivos para ficarem mais satisfeitos com o ex-jogador no comando",NF
"Mas, além da mudança de mentalidade, obviamente, a meta do trabalho de Rino era justamente evitar sufocos contra times modestos",NF
E este era o momento de mostrar que era muito mais do que um motivador,NF
Torcedores protestam em treino do Inter no Beira-Rio,F
"Grupo de 50 torcedores reivindica raça, faz cobranças e a ameaças a jogadores no pátio do estádio",F
o ambiente foi de tensão no pátio do Beira-Rio às vésperas do duelo com o maior rival,NF
"Durante a manifestação, alguns rojões foram arremessados no pátio",F
A Brigada Militar foi acionada,F
Os manifestantes pediram a saída do dirigente,F
O Inter volta a treinar na manhã desta quinta-feira,F
"rasileiros e argentinos se enfrentam nesta quarta-feira, às 21h45, no Morumbi",F
Morumbi será palco de mais um jogo decisivo do São Paulo nesta quarta-feira,F
Rodrigo Caio foi expulso ainda no primeiro tempo,F
O próximo adversário de quem passar para a segunda fase será definido em sorteio,F
Aguirre fechou o treino da última terça-feira,F
Cueva e Anderson Martins são os principais candidatos aos seus lugares,NF
Hudson vai sair da equipe titular,F
Isso porque um dos três zagueiros deverá sair do time,NF
"Leonardo Fernández, técnico no primeiro duelo diante do Tricolor, pediu demissão após três derrotas",F
O interino José Chamot assumiu a equipe,F
o aperitivo é para deixar o torcedor esperançoso,NF
o atacante Hyuri acertou uma bela bicicleta e mostrou que de gol bonito ele entende,NF
Daniel Alves chega a hospital em Paris para realizar exames no joelho direito,F
"lateral passará por testes para conhecer gravidade da lesão, que é motivo de preocupação para a Seleção antes da Copa",NF
"Cerca de 50 minutos depois, ele deixou o local novamente sem falar como niguém.",F
Daniel Alves mostrou incômodo no local,NF
"A princípio, jogadores como Marquinhos mostraram-se tranquilos sobre a condição física do lateral",NF
